,closePrice,daysOnMovoto,id,tnImgPath,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsDbNumber,mlsNumber,bath,bed,openHouses,officeListName,photoCount,propertyType,propertyTypeDisplayName,yearBuilt,zipCode,path,status,houseRealStatus,priceChange,propertyId,visibility,soldDate,createdAt,imageDownloaderStatus,onMarketDateTime,virtualTourLink,nhsDetails,isNHS,isSold,listingByMovoto,priceRaw,isVideoTour,is3DTour,videoTourLink,mls.dateHidden,mls.id,geo.state,geo.city,geo.lat,geo.lng,geo.zipcode,geo.subPremise,geo.address,virtualLink,address,nhsBuilderName,nhsBuilderId,nhsListingType,nhsMarketName,nhsMarketId,nhsPlanName,nhsCommunityName,nhsCommunityId,longitude,latitude,activeUnderContract
0,,0,09821e54-78cd-4a5e-8dfc-59f0d8355131,https://pi.movoto.com/p/12/40948159_0_77ajuZ_p.jpeg,2021-05-02 00:00:00,Carlos Otazu,1150000,1750.0,1064.0,12,40948159,1.0,3.0,[],Bay Port Group Real Estate Inc.,1,SINGLE_FAMILY_HOUSE,Detached,1952.0,94110,san-francisco-ca/639-banks-st-san-francisco-ca-94110/pid_psjzoad48g/for-sale/,Active,ACTIVE,,7a66e4b8-6ada-4a45-b506-97cbfd4ba495,NO_RESTRICTION,,2021-05-02 23:26:22,7,2021-05-02 00:00:00,,,False,False,False,1150000,False,False,,,12,CA,San Francisco,37.735342,-122.412869,94110,,639 Banks St,,,,,,,,,,,,,
1,,0,6a0b5b46-9b5d-4e29-9ae5-5d6d1b87907a,https://pi.movoto.com/p/100/ML81841885_0_qIJI7m_p.jpeg,2021-05-02 13:45:06,Robert Pedro,1850000,2500.0,2592.0,100,ML81841885,4.0,5.0,[],Signature Realty & Mortgage,45,SINGLE_FAMILY_HOUSE,Single Family,1906.0,94110,san-francisco-ca/459-461-potrero-ave-san-francisco-ca-94110-100_ml81840168/for-sale/,Active,ACTIVE,,fc711eff-8bae-4f29-8bcb-8fd0bb288482,NO_RESTRICTION,,2021-05-02 20:47:28,7,2021-05-02 13:45:06,Http://www.459-461Potrero.com/?mls,,False,False,False,1850000,False,True,,,100,CA,San Francisco,0.0,0.0,94110,,459 461 Potrero Ave,Http://www.459-461Potrero.com/?mls,,,,,,,,,,,,
2,,0,7b860ca9-3a1c-4cb6-b1ec-4bd608de7a51,https://pi.movoto.com/p/110/421543165_0_yJqMbu_p.jpeg,2021-03-04 00:00:00,Stacey Caen,12800000,18905.0,0.0,110,421543165,7.0,5.0,[],Sotheby's International Realty,38,SINGLE_FAMILY_HOUSE,Residential - Single Family,1870.0,94115,san-francisco-ca/1901-scott-st-san-francisco-ca-94115/pid_cw0woad48g/for-sale/,Active,ACTIVE,,05fbb19c-18dc-4e9b-863c-0fba92ed65ea,NO_RESTRICTION,,2021-05-02 19:16:16,7,2021-03-04 00:00:00,Https://caenlucier.com/1901,,False,False,False,12800000,False,True,,,110,CA,San Francisco,37.787707,-122.438983,94115,,1901 Scott St,Https://caenlucier.com/1901,,,,,,,,,,,,
3,,0,c5829e43-7366-4119-901a-5cb4a45fdc44,https://pi.movoto.com/p/110/421540137_0_UbQ6mI_p.jpeg,2020-08-19 00:00:00,Gregory Polchow,2495000,1263.0,3029.0,110,421540137,,4.0,[],Sotheby's International Realty Inc,25,MULTI_FAMILY,Multi Family,1927.0,94133,san-francisco-ca/20-darrell-pl-apt-2-san-francisco-ca-94133-110_421540137/for-sale/,Active,ACTIVE,,11164eea-435a-46a0-b129-870c9bff58b3,NO_RESTRICTION,,2021-05-02 18:36:22,7,2020-08-19 00:00:00,,,False,False,False,2495000,False,False,,,110,CA,San Francisco,37.802322,-122.404229,94133,APT 2,20 Darrell Pl #2,,,,,,,,,,,,,
4,,0,7bd576cf-5013-4570-85b1-84897472c597,https://pi.movoto.com/p/110/421534716_0_JBBuqu_p.jpeg,2021-04-12 00:00:00,Kevin Ho,699000,0.0,0.0,110,421534716,1.0,1.0,[],Vanguard Properties,28,CONDO,Condominium,1965.0,94107,san-francisco-ca/875-vermont-st-204-san-francisco-ca-94107-110_409661/for-sale/,Active,ACTIVE,,30d96c92-03c3-4ffd-ab45-8e6704fd9a62,NO_RESTRICTION,,2021-05-02 07:21:14,7,2021-04-12 00:00:00,Https://my.matterport.com/show/?m=WnfNdShWo4L,,False,False,False,699000,False,True,,,110,CA,San Francisco,37.758575,-122.403605,94107,APT 204,875 Vermont St #204,Https://my.matterport.com/show/?m=WnfNdShWo4L,,,,,,,,,,,,
5,,0,5c38981a-2cf5-440b-8e7a-dedb15c52770,https://pi.movoto.com/p/110/421541582_0_ZUfuBZ_p.jpeg,2021-04-22 00:00:00,Amanda Jones,3800000,2187.0,2735.0,110,421541582,3.0,3.0,[],Compass,54,CONDO,Condominium,2019.0,94123,san-francisco-ca/2922-franklin-st-san-francisco-ca-94123-110_502558/for-sale/,Active,ACTIVE,,8139a2f8-7f2c-414a-ab31-30c72153085f,NO_RESTRICTION,,2021-05-02 07:21:14,7,2021-04-22 00:00:00,,,False,False,False,3800000,False,False,,,110,CA,San Francisco,37.801537,-122.425995,94123,,2922 Franklin St,,,,,,,,,,,,,
6,,0,bc36bfb1-d1ad-428d-a2f1-442bcf046344,https://pi.movoto.com/p/100/ML81841848_0_zRqEvj_p.jpeg,2021-05-01 20:55:34,Monica Covington,625000,,676.0,100,ML81841848,1.0,1.0,[],Intero Real Estate Services,21,CONDO,Condominium,1982.0,94102,san-francisco-ca/601-van-ness-ave-apt-802-san-francisco-ca-94102-12_40578764/for-sale/,Active,ACTIVE,,327d4340-92b0-4209-8361-c9d9c6628dbc,NO_RESTRICTION,,2021-05-02 04:02:28,7,2021-05-01 20:55:34,Https://my.matterport.com/show/?m=XrheC74K76B&brand=0,,False,False,False,625000,False,True,,,100,CA,San Francisco,37.781117,-122.421331,94102,APT 802,601 Van Ness Ave #802,Https://my.matterport.com/show/?m=XrheC74K76B&brand=0,,,,,,,,,,,,
7,,0,e07fb537-e954-4ca5-908b-4a276621edd9,https://pi.movoto.com/p/110/421544595_0_F62yVM_p.jpeg,2021-05-01 00:00:00,Deborah Nguyen,1395000,3371.0,1868.0,110,421544595,2.0,3.0,[],Compass,62,SINGLE_FAMILY_HOUSE,Residential - Single Family,1956.0,94131,san-francisco-ca/187-skyview-way-san-francisco-ca-94131/pid_tmbyoad48g/for-sale/,Active,ACTIVE,,1ce3dae6-4d9a-4ea5-b8f2-000430b732ab,NO_RESTRICTION,,2021-05-02 04:01:19,7,2021-05-01 00:00:00,,,False,False,False,1395000,False,False,,,110,CA,San Francisco,37.753402,-122.449886,94131,,187 Skyview Way,,,,,,,,,,,,,
8,,1,98a58dab-813f-43e7-903e-04ce47ccef50,https://pi.movoto.com/p/110/421544577_0_AvFYfn_p.jpeg,2021-05-01 00:00:00,Jack Burrows,2395000,2500.0,5150.0,110,421544577,6.0,6.0,[],Vanguard Properties,5,MULTI_FAMILY,Multi Family,,94114,san-francisco-ca/254-roosevelt-way-apt-3-san-francisco-ca-94114-110_513006/for-sale/,Active,ACTIVE,,572a9336-6870-4c84-b8cf-212db8943613,NO_RESTRICTION,,2021-05-01 23:26:13,7,2021-05-01 00:00:00,,,False,False,False,2395000,False,False,,,110,CA,San Francisco,37.766044,-122.440677,94114,APT 3,254 Roosevelt Way #3,,,,,,,,,,,,,
9,,1,3d592eb2-5d73-4a9d-abe6-5cfb51e84d91,https://pi.movoto.com/p/110/421543168_0_UQezNa_p.jpeg,2021-04-29 00:00:00,Eva Stoyanov,1899000,2375.0,2533.0,110,421543168,3.0,3.0,[],Compass SF,56,SINGLE_FAMILY_HOUSE,Residential - Single Family,1913.0,94122,san-francisco-ca/1286-26th-ave-san-francisco-ca-94122/pid_b3kxoad48g/for-sale/,Active,ACTIVE,,3e72b042-bd42-491c-8bb0-877f2040bfff,NO_RESTRICTION,,2021-05-01 21:26:13,7,2021-04-29 00:00:00,Https://my.matterport.com/show/?m=YMUfUNBeaSm&mls=1,,False,False,False,1899000,False,True,,,110,CA,San Francisco,37.763525,-122.484426,94122,,1286 26th Ave,Https://my.matterport.com/show/?m=YMUfUNBeaSm&mls=1,,,,,,,,,,,,
10,,1,0116b405-b01e-4f6b-b086-907939bd0c66,https://pi.movoto.com/p/110/421543567_0_YRUIuM_p.jpeg,2021-03-26 00:00:00,Farah Abed,1395000,1920.0,2394.0,110,421543567,1.0,3.0,[],Vanguard Properties,16,MULTI_FAMILY,Multi Family,1907.0,94110,san-francisco-ca/1270-hampshire-st-apt-3-san-francisco-ca-94110-110_421543567/for-sale/,Active,ACTIVE,,1a6b71ef-5cc3-4b00-ac86-34eaf32569b8,NO_RESTRICTION,,2021-05-01 20:46:28,7,2021-03-26 00:00:00,,,False,False,False,1395000,False,False,,,110,CA,San Francisco,37.751876,-122.407471,94110,APT 3,1270 Hampshire St #3,,,,,,,,,,,,,
11,,1,9f63c390-d58c-4fda-b1a8-ae1d8e1c18a2,https://pi.movoto.com/p/110/421544549_0_JQeU76_p.jpeg,2021-05-01 00:00:00,Ksenia Jury,949000,38571.0,722.0,110,421544549,1.0,1.0,[],Skybox Realty,24,CONDO,Condominium,2004.0,94105,san-francisco-ca/355-1st-st-s2103-san-francisco-ca-94105/pid_b5vyoad48g/for-sale/,Active,ACTIVE,,02a31e76-15a8-46f3-ad79-e40aab031559,NO_RESTRICTION,,2021-05-01 20:41:31,7,2021-05-01 00:00:00,,,False,False,False,949000,False,False,,,110,CA,San Francisco,37.78688,-122.393488,94105,APT S2103,355 1st St #S2103,,,,,,,,,,,,,
