,daysOnMovoto,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsNumber,bath,bed,officeListName,propertyType,yearBuilt,zipCode,path,status,houseRealStatus,createdAt,onMarketDateTime,priceRaw,geo.state,geo.city,geo.zipcode,geo.address
0,0,2021-05-02 00:00:00,Carlos Otazu,1150000,1750,1064,40948159,1,3,Bay Port Group Real Estate Inc.,SINGLE_FAMILY_HOUSE,1952,94110,san-francisco-ca/639-banks-st-san-francisco-ca-94110/pid_psjzoad48g/for-sale/,Active,ACTIVE,2021-05-02 23:26:22,2021-05-02 00:00:00,1150000,CA,San Francisco,94110,639 Banks St
1,0,2021-05-02 13:45:06,Robert Pedro,1850000,2500,2592,ML81841885,4,5,Signature Realty & Mortgage,SINGLE_FAMILY_HOUSE,1906,94110,san-francisco-ca/459-461-potrero-ave-san-francisco-ca-94110-100_ml81840168/for-sale/,Active,ACTIVE,2021-05-02 20:47:28,2021-05-02 13:45:06,1850000,CA,San Francisco,94110,459 461 Potrero Ave
4,0,2021-04-12 00:00:00,Kevin Ho,699000,0,0,421534716,1,1,Vanguard Properties,CONDO,1965,94107,san-francisco-ca/875-vermont-st-204-san-francisco-ca-94107-110_409661/for-sale/,Active,ACTIVE,2021-05-02 07:21:14,2021-04-12 00:00:00,699000,CA,San Francisco,94107,875 Vermont St #204
5,0,2021-04-22 00:00:00,Amanda Jones,3800000,2187,2735,421541582,3,3,Compass,CONDO,2019,94123,san-francisco-ca/2922-franklin-st-san-francisco-ca-94123-110_502558/for-sale/,Active,ACTIVE,2021-05-02 07:21:14,2021-04-22 00:00:00,3800000,CA,San Francisco,94123,2922 Franklin St
7,0,2021-05-01 00:00:00,Deborah Nguyen,1395000,3371,1868,421544595,2,3,Compass,SINGLE_FAMILY_HOUSE,1956,94131,san-francisco-ca/187-skyview-way-san-francisco-ca-94131/pid_tmbyoad48g/for-sale/,Active,ACTIVE,2021-05-02 04:01:19,2021-05-01 00:00:00,1395000,CA,San Francisco,94131,187 Skyview Way
9,1,2021-04-29 00:00:00,Eva Stoyanov,1899000,2375,2533,421543168,3,3,Compass SF,SINGLE_FAMILY_HOUSE,1913,94122,san-francisco-ca/1286-26th-ave-san-francisco-ca-94122/pid_b3kxoad48g/for-sale/,Active,ACTIVE,2021-05-01 21:26:13,2021-04-29 00:00:00,1899000,CA,San Francisco,94122,1286 26th Ave
10,1,2021-03-26 00:00:00,Farah Abed,1395000,1920,2394,421543567,1,3,Vanguard Properties,MULTI_FAMILY,1907,94110,san-francisco-ca/1270-hampshire-st-apt-3-san-francisco-ca-94110-110_421543567/for-sale/,Active,ACTIVE,2021-05-01 20:46:28,2021-03-26 00:00:00,1395000,CA,San Francisco,94110,1270 Hampshire St #3
11,1,2021-05-01 00:00:00,Ksenia Jury,949000,38571,722,421544549,1,1,Skybox Realty,CONDO,2004,94105,san-francisco-ca/355-1st-st-s2103-san-francisco-ca-94105/pid_b5vyoad48g/for-sale/,Active,ACTIVE,2021-05-01 20:41:31,2021-05-01 00:00:00,949000,CA,San Francisco,94105,355 1st St #S2103
13,1,2021-04-30 00:00:00,Tim Hawko,718000,15336,1474,421543028,2,3,Park North Real Estate,CONDO,1975,94132,san-francisco-ca/109-s-lake-merced-hls-2b-san-francisco-ca-94132/pid_ese0oad48g/for-sale/,Active,ACTIVE,2021-05-01 19:11:29,2021-04-30 00:00:00,718000,CA,San Francisco,94132,109 S Lake Merced Hls #2B
14,1,2021-05-01 00:00:00,Fang Liu,4498800,2027,3645,421543906,5,4,Century 21 Realty Alliance Fine Homes and Estates,SINGLE_FAMILY_HOUSE,2014,94131,san-francisco-ca/1710-diamond-st-san-francisco-ca-94131-110_420964/for-sale/,Active,ACTIVE,2021-05-01 18:36:26,2021-05-01 00:00:00,4498800,CA,San Francisco,94131,1710 Diamond St
15,1,2021-03-01 00:00:00,Betsy Linder,2300000,6428,1850,421542530,2,2,Compass,CONDO,1913,94118,san-francisco-ca/3233-jackson-st-3-san-francisco-ca-94118/pid_yuzwoad48g/for-sale/,Active,ACTIVE,2021-05-01 17:56:31,2021-03-01 00:00:00,2300000,CA,San Francisco,94118,3233 Jackson St #3
16,1,2021-05-01 09:28:28,James Enes,1389000,2474,1267,ML81841792,2,2,Redfin,CONDO,2012,94110,san-francisco-ca/1268-dolores-st-apt-1268-san-francisco-ca-94110-100_ml81841792/for-sale/,Active,ACTIVE,2021-05-01 16:32:29,2021-05-01 09:28:28,1389000,CA,San Francisco,94110,1268 Dolores St #1268
17,1,2021-04-17 00:00:00,Joanna Rose,849000,15336,1247,421544323,2,2,Redfin,CONDO,1975,94132,san-francisco-ca/109-s-lake-merced-hls-3c-san-francisco-ca-94132/pid_sse0oad48g/for-sale/,Active,ACTIVE,2021-05-01 15:31:30,2021-04-17 00:00:00,849000,CA,San Francisco,94132,109 S Lake Merced Hls #3C
18,1,2021-05-01 00:00:00,Brandon Chen,995000,2006,1394,421544423,2,3,Compass,SINGLE_FAMILY_HOUSE,1999,94124,san-francisco-ca/89-bitting-ave-san-francisco-ca-94124-100_80518117/for-sale/,Active,ACTIVE,2021-05-01 15:26:15,2021-05-01 00:00:00,995000,CA,San Francisco,94124,89 Bitting Ave
